0.200000, 0, 15
0.466667, 0, 15
0.533333, 10000, 15
0.466667, 20000, 15
0.333333, 30000, 15
0.733333, 40000, 15
0.466667, 50000, 15
1.666667, 60000, 15
5.133333, 70000, 15
1.400000, 80000, 15
3.933333, 90000, 15
4.466667, 100000, 15
454.000000, 0, 15
516.000000, 10000, 15
402.666667, 0, 15
406.666667, 10000, 15
374.666667, 20000, 15
406.666667, 30000, 15
368.000000, 40000, 15
401.333333, 50000, 15
424.000000, 60000, 15
722.000000, 70000, 15
694.666667, 80000, 15
157.333333, 90000, 15
767.333333, 100000, 15
786.666667, 110000, 15
956.666667, 120000, 15
894.000000, 130000, 15
397.333333, 140000, 15
1832.000000, 150000, 15
332.666667, 160000, 15
900.000000, 170000, 15
421.333333, 180000, 15
680.000000, 190000, 15
436.000000, 200000, 15
162.666667, 210000, 15
1100.000000, 220000, 15
511.333333, 230000, 15
1545.333333, 240000, 15
376.000000, 250000, 15
1639.333333, 260000, 15
1713.333333, 270000, 15
1929.333333, 280000, 15
1770.666667, 290000, 15
2026.000000, 300000, 15
1140.666667, 310000, 15
1758.000000, 320000, 15
1583.333333, 330000, 15
1882.000000, 340000, 15
964.000000, 350000, 15
